零件号,无色标零件号,供应商号,工厂,SUPPLIER_ID,单位,运输费(原始),操作费(原始),包装费(原始),运输费(最新),运输费(服务商),操作费(最新),操作费(服务商),包装费(最新),包装费(服务商)
3B0823198A,3B0823198A,10262,1000,50002789,只,,0,0,0.01,10798,0,10262,0,10262
3B5827177B,3B5827177B,10262,1000,50002789,只,,0,0,0.02,10798,0,10262,0,10262
3B5827178B,3B5827178B,10262,1000,50002789,只,,0,0,0.02,10798,0,10262,0,10262
3B5827173A,3B5827173A,10262,1000,50002789,只,,0,0,0.02,10798,0,10262,0,10262
3BD823105,3BD823105,10262,1000,50002789,只,2.24,0,2.24,2.24,10262,0,10262,2.24,10262
3BD827159C,3BD827159C,10262,1000,50002789,只,0.89,0,0.89,0.89,10262,0,10262,0.89,10262
3BD823105A,3BD823105A,10262,1000,50002789,只,2.24,0,2.24,2.24,10262,0,10262,2.24,10262
3BD821106A,3BD821106A,10262,1000,50002789,只,2.08,0,2.08,2.08,10262,0,10262,2.08,10262
3BD821105A,3BD821105A,10262,1000,50002789,只,2.09,0,2.08,2.09,10262,0,10262,2.08,10262
3BD827105C,3BD827105C,10262,1000,50002789,只,0.92,0,0.91,0.92,10262,0,10262,0.91,10262
3BD823155A,3BD823155A,10262,1000,50002789,只,0.99,0,0.99,0.99,10262,0,10262,0.99,10262
3BD827159A,3BD827159A,10262,1000,50002789,只,0.9,0,0.89,0.9,10262,0,10262,0.89,10262
3BD827106A,3BD827106A,10262,1000,50002789,只,3.15,0,3.14,3.15,10262,0,10262,3.14,10262
3BD821106,3BD821106,10262,1000,50002789,只,2.09,0,2.08,2.09,10262,0,10262,2.08,10262
3BD827105A,3BD827105A,10262,1000,50002789,只,0.92,0,0.91,0.92,10262,0,10262,0.91,10262
3BD813309,3BD813309,10262,1000,50002789,只,0.47,0,0.46,0.47,10262,0,10262,0.46,10262
3B5813305,3B5813305,10262,1000,50002789,只,0.61,0,0.61,0.61,10262,0,10262,0.61,10262
3BD809606A,3BD809606A,10262,1000,50002789,只,11.35,0,11.35,11.35,10262,0,10262,11.35,10262
3BD809605C,3BD809605C,10262,1000,50002789,只,11.35,0,11.35,11.35,10262,0,10262,11.35,10262
3BD809605A,3BD809605A,10262,1000,50002789,只,11.35,0,11.35,11.35,10262,0,10262,11.35,10262
3BD823155,3BD823155,10262,1000,50002789,只,0.95,0,0.95,0.95,10262,0,10262,0.95,10262
3BD827106C,3BD827106C,10262,1000,50002789,只,3.14,0,3.15,3.14,10262,0,10262,3.15,10262
18D831361,18D831361,10262,1000,50002789,只,0.02,0,0.04,0.02,10262,0,10262,0.04,10262
18D831362,18D831362,10262,1000,50002789,只,0.02,0,0.04,0.02,10262,0,10262,0.04,10262
18D833361,18D833361,10262,1000,50002789,只,0.02,0,0.04,0.02,10262,0,10262,0.04,10262
18D833507,18D833507,10262,1000,50002789,只,0.04,0,0.1,0.04,10262,0,10262,0.1,10262
1U0813116C,1U0813116C,10262,1000,50002789,只,0.1,0,0,0.1,10262,0,10262,0,10262
3BD823191,3BD823191,10262,1000,50002789,只,0,0,0,0,10262,0,10262,0,10262
3BD823192,3BD823192,10262,1000,50002789,只,0,0,0,0,10262,0,10262,0,10262
3B0823199B,3B0823199B,10262,1000,50002789,只,,0,0,0.01,10798,0,10262,0,10262
3B0823421,3B0823421,10262,1000,50002789,只,,0,0,0,10798,0,10262,0,10262
321821111,321821111,10262,1000,50002789,只,0.01,0,0,0.01,10262,0,10262,0,10262
321821112,321821112,10262,1000,50002789,只,0.01,0,0,0.01,10262,0,10262,0,10262
323823105,323823105,10262,1000,50002789,只,0.01,0,0,0.01,10262,0,10262,0,10262
321823155A,321823155A,10262,1000,50002789,只,0.01,0,0,0.01,10262,0,10262,0,10262
1Z0821106B,1Z0821106B,10262,1000,50002789,只,2.83,0,2.84,2.83,10262,0,10262,2.84,10262
1Z0821105B,1Z0821105B,10262,1000,50002789,只,2.84,0,2.84,2.84,10262,0,10262,2.84,10262
321805607A,321805607A,10262,1000,50002789,只,0.01,0,0,0.01,10262,0,10262,0,10262
321805608A,321805608A,10262,1000,50002789,只,0.01,0,0,0.01,10262,0,10262,0,10262
323809675,323809675,10262,1000,50002789,只,0.01,0,0,0.01,10262,0,10262,0,10262
323809676,323809676,10262,1000,50002789,只,0.01,0,0,0.01,10262,0,10262,0,10262
33D805607,33D805607,10262,1000,50002789,只,0.39,0,0.39,0.39,10262,0,10262,0.39,10262
3BD810232,3BD810232,10262,1000,50002789,只,0.4,0,0.4,0.4,10262,0,10262,0.4,10262
3BD810231,3BD810231,10262,1000,50002789,只,0.4,0,0.4,0.4,10262,0,10262,0.4,10262
3B5803436A,3B5803436A,10262,1000,50002789,只,0.56,0,0.55,0.56,10262,0,10262,0.55,10262
3B5803435A,3B5803435A,10262,1000,50002789,只,0.56,0,0.55,0.56,10262,0,10262,0.55,10262
3BD809406,3BD809406,10262,1000,50002789,只,0.39,0,0.39,0.39,10262,0,10262,0.39,10262
3BD809405,3BD809405,10262,1000,50002789,只,0.39,0,0.39,0.39,10262,0,10262,0.39,10262
3BD809264,3BD809264,10262,1000,50002789,只,0.68,0,0.67,0.68,10262,0,10262,0.67,10262
3BD809263,3BD809263,10262,1000,50002789,只,0.68,0,0.67,0.68,10262,0,10262,0.67,10262
3B5813561,3B5813561,10262,1000,50002789,只,0.37,0,0.36,0.37,10262,0,10262,0.36,10262
3B5813336,3B5813336,10262,1000,50002789,只,0.37,0,0.36,0.37,10262,0,10262,0.36,10262
3B5813335,3B5813335,10262,1000,50002789,只,0.37,0,0.36,0.37,10262,0,10262,0.36,10262
3BD813328,3BD813328,10262,1000,50002789,只,0.4,0,0.4,0.4,10262,0,10262,0.4,10262
3BD813327,3BD813327,10262,1000,50002789,只,0.4,0,0.4,0.4,10262,0,10262,0.4,10262
3BD810610,3BD810610,10262,1000,50002789,只,0.39,0,0.39,0.39,10262,0,10262,0.39,10262
3BD810609,3BD810609,10262,1000,50002789,只,0.39,0,0.39,0.39,10262,0,10262,0.39,10262
3BD809644,3BD809644,10262,1000,50002789,只,0.39,0,0.38,0.39,10262,0,10262,0.38,10262
3BD809643,3BD809643,10262,1000,50002789,只,0.39,0,0.38,0.39,10262,0,10262,0.38,10262
3BD809630,3BD809630,10262,1000,50002789,只,0.38,0,0.37,0.38,10262,0,10262,0.37,10262
3BD809629,3BD809629,10262,1000,50002789,只,0.38,0,0.37,0.38,10262,0,10262,0.37,10262
3BD805362,3BD805362,10262,1000,50002789,只,0.37,0,0.37,0.37,10262,0,10262,0.37,10262
3BD805361,3BD805361,10262,1000,50002789,只,0.37,0,0.37,0.37,10262,0,10262,0.37,10262
3BD805356,3BD805356,10262,1000,50002789,只,0.58,0,0.58,0.58,10262,0,10262,0.58,10262
3BD805355,3BD805355,10262,1000,50002789,只,0.58,0,0.58,0.58,10262,0,10262,0.58,10262
3B0805277G,3B0805277G,10262,1000,50002789,只,0.42,0,0.41,0.42,10262,0,10262,0.41,10262
3BD805086,3BD805086,10262,1000,50002789,只,0.38,0,0.37,0.38,10262,0,10262,0.37,10262
3258038811,3258038811,10262,1000,50002789,只,0.42,0,0.41,0.42,10262,0,10262,0.41,10262
3B0810805,3B0810805,10262,1000,50002789,只,,0,0,0,10798,0,10262,0,10262
3B0821137A,3B0821137A,10262,1000,50002789,只,,0,0,0,10798,0,10262,0,10262
3B0821138A,3B0821138A,10262,1000,50002789,只,,0,0,0,10798,0,10262,0,10262
3B0823191,3B0823191,10262,1000,50002789,只,,0,0,0,10798,0,10262,0,10262
3B0823192,3B0823192,10262,1000,50002789,只,,0,0,0,10798,0,10262,0,10262
3B0823419A,3B0823419A,10262,1000,50002789,只,,0,0,0,10798,0,10262,0,10262
3B1955635A,3B1955635A,10262,1000,50002789,只,,0,0,0,10798,0,10262,0,10262
3B1955636,3B1955636,10262,1000,50002789,只,,0,0,0,10798,0,10262,0,10262
3B5813325,3B5813325,10262,1000,50002789,只,,0,0,0.01,10798,0,10262,0,10262
8E0802187,8E0802187,10262,1000,50002789,只,,0,0,0.01,10798,0,10262,0,10262
8E0802188,8E0802188,10262,1000,50002789,只,,0,0,0.01,10798,0,10262,0,10262
8E0802491,8E0802491,10262,1000,50002789,只,,0,0,0.01,10798,0,10262,0,10262
8E0802327,8E0802327,10262,1000,50002789,只,,0,0,0.01,10798,0,10262,0,10262
8E0802328,8E0802328,10262,1000,50002789,只,,0,0,0.01,10798,0,10262,0,10262
8E0803971,8E0803971,10262,1000,50002789,只,,0,0,0,10798,0,10262,0,10262
8E0802393,8E0802393,10262,1000,50002789,只,,0,0,0.02,10798,0,10262,0,10262
3B5886163,3B5886163,10262,1000,50002789,只,,0,0,0.01,10798,0,10262,0,10262
3B5886164,3B5886164,10262,1000,50002789,只,,0,0,0.01,10798,0,10262,0,10262
3B5814727,3B5814727,10262,1000,50002789,只,,0,0,0.02,10798,0,10262,0,10262
18D833508,18D833508,10262,1000,50002789,只,0.04,0,0.1,0.04,10262,0,10262,0.1,10262
18D833362,18D833362,10262,1000,50002789,只,0.02,0,0.04,0.02,10262,0,10262,0.04,10262
2SD809405,2SD809405,10262,1000,50002789,只,0.09,0,0.33,0.09,10262,0,10262,0.33,10262
2SD809406A,2SD809406A,10262,1000,50002789,只,0.09,0,0.33,0.09,10262,0,10262,0.33,10262
2GP809411,2GP809411,10262,1000,50002789,只,0.06,0,0.19,0.06,10262,0,10262,0.19,10262
2GP833124,2GP833124,10262,1000,50002789,只,0,0,0.01,0,10262,0,10262,0.01,10262
2GP833123,2GP833123,10262,1000,50002789,只,0,0,0.01,0,10262,0,10262,0.01,10262
22D817163,22D817163,10262,1000,50002789,只,0.01,0,0.07,0.01,10262,0,10262,0.07,10262
2GP817119,2GP817119,10262,1000,50002789,只,0.02,0,0.07,0.02,10262,0,10262,0.07,10262
22D817123,22D817123,10262,1000,50002789,只,0.01,0,0.05,0.01,10262,0,10262,0.05,10262
2GP817123,2GP817123,10262,1000,50002789,只,0.01,0,0.05,0.01,10262,0,10262,0.05,10262
2GP809412,2GP809412,10262,1000,50002789,只,0.06,0,0.19,0.06,10262,0,10262,0.19,10262
1J0804911C,1J0804911C,10262,1000,50002789,只,0.01,0,0.04,0.01,10262,0,10262,0.04,10262
1J0804912,1J0804912,10262,1000,50002789,只,0.01,0,0.04,0.01,10262,0,10262,0.04,10262
1J0802191G,1J0802191G,11084,1000,50001348,只,0.4,0,0.4,0.4,11084,0,11084,0.4,11084
1J0802192F,1J0802192F,11084,1000,50001348,只,0.4,0,0.4,0.4,11084,0,11084,0.4,11084
02M911022J,02M911022J,11056,1000,50001908,只,1.29,0.77,2.46,1.29,11056,0.77,11056,2.46,11056
06K145874H,06K145874H,11276,1000,50041451,只,21.24,2.27,17.27,21.24,11276,2.27,11276,17.27,11276
06L145722R,06L145722R,11276,1000,50041451,只,21.24,2.27,17.27,21.24,11276,2.27,11276,17.27,11276
06L145874G,06L145874G,11276,1000,50041451,只,21.24,2.27,17.27,21.24,11276,2.27,11276,17.27,11276
06K145873B,06K145873B,11276,1000,50041451,只,21.24,2.27,17.27,21.24,11276,2.27,11276,17.27,11276
325813333,325813333,10262,1000,50002789,只,0.01,0,0,0.01,10262,0,10262,0,10262
06K103023B,06K103023B,11089,1000,50002262,只,25.45,4.25,3.2,25.45,11089,4.25,11089,3.2,11089
0AM911021A,0AM911021A,11056,1200,50001908,只,1.23,0.77,2.46,1.23,11056,0.77,11056,2.46,11056
02E911022D,02E911022D,11056,1200,50001908,只,1.23,1.9,1.37,1.23,11056,1.9,11056,1.37,11056
5QD614105AB,5QD614105AB,11630,1200,50193808,只,3.13,1.88,2.1,3.13,11630,1.88,11630,2.1,11630
5QD614105AC,5QD614105AC,11630,1200,50193808,只,3.13,1.88,2.1,3.13,11630,1.88,11630,2.1,11630
5Q1803177,5Q1803177,10262,1200,50002789,只,0.12,0,0.15,0.12,10262,0,10262,0.15,10262
5Q0805397B,5Q0805397B,10262,1200,50002789,只,0.42,0,0.23,0.42,10262,0,10262,0.23,10262
5Q0805398B,5Q0805398B,10262,1200,50002789,只,0.42,0,0.23,0.42,10262,0,10262,0.23,10262
1C0803187A,1C0803187A,10262,1200,50002789,只,0,0,0,0.67,10798,0,10262,0,10262
3V5813227A,3V5813227A,10262,1200,50002789,只,0.14,0,0.04,0.14,10262,0,10262,0.04,10262
3V5809745,3V5809745,10262,1200,50002789,只,0.13,0,0.06,0.13,10262,0,10262,0.06,10262
3V5809746,3V5809746,10262,1200,50002789,只,0.12,0,0.06,0.12,10262,0,10262,0.06,10262
3VD827173,3VD827173,10262,1200,50002789,只,0.45,0,0.22,0.45,10262,0,10262,0.22,10262
02M911022J,02M911022J,11056,1200,50001908,只,1.26,0.77,2.46,1.26,11056,0.77,11056,2.46,11056
1J0802191G,1J0802191G,11084,1300,50001348,只,1.18,0,0.02,1.18,11084,0,11084,0.02,11084
1J0802192F,1J0802192F,11084,1300,50001348,只,0.9,0,0.02,0.9,11084,0,11084,0.02,11084
02E911022D,02E911022D,11056,1300,50001908,只,1.26,0.77,2.46,1.26,11056,0.77,11056,2.46,11056
0AM911021A,0AM911021A,11056,1300,50001908,只,1.26,0.77,2.46,1.26,11056,0.77,11056,2.46,11056
5Q1803177,5Q1803177,10262,1300,50002789,只,0.07,0,0.01,0.07,10798,0,10262,0.01,10262
5Q0805397B,5Q0805397B,10262,1300,50002789,只,0.08,0,0.01,0.08,10798,0,10262,0.01,10262
5Q0805398B,5Q0805398B,10262,1300,50002789,只,0.08,0,0.01,0.08,10798,0,10262,0.01,10262
02M911022J,02M911022J,11056,1300,50001908,只,1.29,0.77,2.46,1.29,11056,0.77,11056,2.46,11056
1J0802191G,1J0802191G,11084,1340,50001348,只,1.18,0,0.02,1.18,11084,0,11084,0,11084
1J0802192F,1J0802192F,11084,1340,50001348,只,0.9,0,0.02,0.9,11084,0,11084,0.02,11084
02M911022J,02M911022J,11056,1340,50001908,只,2.4,0.35,0,2.4,11056,0.35,11056,0,11056
1J0802191G,1J0802191G,11084,1340,50001348,只,1.18,0,0.02,1.18,11084,0,11084,0,11084
5Q0805397B,5Q0805397B,10262,1500,50002789,只,0.14,0,0.23,0.07,10798,0,10262,0,10262
5Q0805398B,5Q0805398B,10262,1500,50002789,只,0.14,0,0.23,0.07,10798,0,10262,0,10262
5Q0805397,5Q0805397,10262,1500,50002789,只,0.42,0,0.23,0.14,10798,0,10262,0.23,10262
5Q0805398,5Q0805398,10262,1500,50002789,只,0.42,0,0.23,0.14,10798,0,10262,0.23,10262
5Q1803177,5Q1803177,10262,1500,50002789,只,0.12,0,0.15,0.12,10798,0,10262,0.15,10262
5GD809611,5GD809611,10262,1500,50002789,只,0.15,0,0.02,0.11,10798,0,10262,0.02,10262
5GD809612,5GD809612,10262,1500,50002789,只,0.15,0,0.02,0.11,10798,0,10262,0.02,10262
5GD827753,5GD827753,10262,1500,50002789,只,0.13,0,0.02,0.08,10798,0,10262,0.02,10262
5GD827754,5GD827754,10262,1500,50002789,只,0.13,0,0.02,0.08,10798,0,10262,0.02,10262
02E911022D,02E911022D,11056,1500,50001908,只,1.98,0.77,2.46,1.98,11056,0.77,11056,2.46,11056
0AM911021A,0AM911021A,11056,1500,50001908,只,1.98,0.77,2.46,1.98,11056,0.77,11056,2.46,11056
3QG820003C,3QG820003C,10908,1500,50001911,只,13.59,5.76,2.52,13.59,10908,5.76,10908,2.52,10908
3CN833507A,3CN833507A,10262,1500,50002789,只,0.33,0,0.08,0.31,10798,0,10262,0.08,10262
3CN833508A,3CN833508A,10262,1500,50002789,只,0.33,0,0.08,0.31,10798,0,10262,0.08,10262
3CN833209A,3CN833209A,10262,1500,50002789,只,0.33,0,0.03,0.11,10798,0,10262,0.03,10262
3CN833210A,3CN833210A,10262,1500,50002789,只,0.33,0,0.03,0.11,10798,0,10262,0.03,10262
3CN831209A,3CN831209A,10262,1500,50002789,只,0.33,0,0.03,0.11,10798,0,10262,0.03,10262
3CN831210A,3CN831210A,10262,1500,50002789,只,0.33,0,0.03,0.11,10798,0,10262,0.03,10262
30D831507,30D831507,10262,1500,50002789,只,0.37,0,0.05,0.28,10798,0,10262,0,10262
30D843506,30D843506,10262,1500,50002789,只,0.37,0,0.05,0.35,10798,0,10262,0,10262
30D843505,30D843505,10262,1500,50002789,只,0.37,0,0.05,0.35,10798,0,10262,0,10262
30D831508,30D831508,10262,1500,50002789,只,0.37,0,0.05,0.28,10798,0,10262,0,10262
02M911022J,02M911022J,11056,1500,50001908,只,2.5,1.9,1.67,2.5,11056,1.9,11056,1.67,11056
30D831507,30D831507,10262,1500,50002789,只,0.37,0,0.05,0.28,10798,0,10262,0,10262
30D843506,30D843506,10262,1500,50002789,只,0.37,0,0.05,0.35,10798,0,10262,0,10262
30D843505,30D843505,10262,1500,50002789,只,0.37,0,0.05,0.35,10798,0,10262,0,10262
30D831508,30D831508,10262,1500,50002789,只,0.37,0,0.05,0.28,10798,0,10262,0,10262
19D817163,19D817163,10262,1600,50002789,只,0.28,0,0.14,0.28,10262,0,10262,0,10262
19D817123,19D817123,10262,1600,50002789,只,0.33,0,0.14,0.33,10262,0,10262,0,10262
5Q0803205B 001,5Q0803205B,10262,1600,50002789,只,0.6,0,0.24,0.6,10262,0,10262,0,10262
5Q0803206B 001,5Q0803206B,10262,1600,50002789,只,0.6,0,0.24,0.6,10262,0,10262,0,10262
5Q1803177,5Q1803177,10262,1600,50002789,只,0.01,0.3,0.13,0.01,10262,0,10262,0,10262
5Q0805397B,5Q0805397B,10262,1600,50002789,只,0.01,0.35,0.16,0.01,10262,0,10262,0,10262
5Q0805398B,5Q0805398B,10262,1600,50002789,只,0.01,0.35,0.16,0.01,10262,0,10262,0,10262
19D833673,19D833673,10262,1600,50002789,只,0.13,0,0.06,0.13,10262,0,10262,0,10262
19D833674,19D833674,10262,1600,50002789,只,0.13,0,0.06,0.13,10262,0,10262,0,10262
1J0804911C,1J0804911C,10262,1600,50002789,只,0.01,0.21,0.06,0.01,10262,0,10262,0,10262
1J0804912,1J0804912,10262,1600,50002789,只,0.01,0.21,0.06,0.01,10262,0,10262,0,10262
18D817119A,18D817119A,10262,1600,50002789,只,0.03,0.47,0.1,0.03,10262,0,10262,0,10262
1C0803187A,1C0803187A,10262,1600,50002789,只,0.09,1.78,0.37,0.09,10262,0,10262,1.02,10262
02E911022D,02E911022D,11056,1600,50001908,只,0.62,0.63,2.46,0.62,11056,0.63,11056,2.46,11056
0AM911021A,0AM911021A,11056,1600,50001908,只,0.62,0.63,2.46,0.62,11056,0.63,11056,2.46,11056
18D820003BQ,18D820003BQ,10908,1600,50001911,只,38,2.78,5.5,38,10908,2.78,10908,5.5,10908
18D820003BR,18D820003BR,10908,1600,50001911,只,38,2.78,5.5,38,10908,2.78,10908,5.5,10908
5QJ614105A,5QJ614105A,11630,1600,50193808,只,2.09,7.77,5.56,2.09,11630,0,11630,3.43,11630
18D820003BS,18D820003BS,10908,1600,50001911,只,38,2.78,5.5,38,10908,2.78,10908,5.5,10908
5TA827445,5TA827445,10262,1600,50002789,只,0.45,0,0.08,0.45,10262,0,10262,0,10262
5TA827446,5TA827446,10262,1600,50002789,只,0.45,0,0.08,0.45,10262,0,10262,0,10262
565833508,565833508,10262,1600,50002789,只,0.05,0,0.02,0.05,10262,0,10262,0,10262
565831507,565831507,10262,1600,50002789,只,0.07,0,0.02,0.07,10262,0,10262,0,10262
565831508,565831508,10262,1600,50002789,只,0.07,0,0.02,0.07,10262,0,10262,0,10262
565833507,565833507,10262,1600,50002789,只,0.05,0,0.02,0.05,10262,0,10262,0,10262
5QJ614105H,5QJ614105H,11630,1600,50193808,只,2.09,7.77,5.56,2.09,11630,0,11630,3.43,11630
5QJ614105H,5QJ614105H,11630,1600,50193808,只,2.09,7.77,5.56,2.09,11630,0,11630,3.43,11630
02M911022J,02M911022J,11056,1600,50001908,只,0.62,0.63,2.46,0.62,11056,0.63,11056,2.46,11056
